"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Dec 08 11:13:53 UTC 2022","Thu Dec 08 11:14:52 UTC 2022","59354","","Sign up","","Sign up","6Should signed up with valid fields","6Should signed up with valid fields",""
"passed","Thu Dec 08 11:38:51 UTC 2022","Thu Dec 08 11:38:56 UTC 2022","4216","","Blog ","","Blog ","14Should search with empty results","14Should search with empty results",""
"passed","Thu Dec 08 11:16:05 UTC 2022","Thu Dec 08 11:16:08 UTC 2022","3022","","Blog ","","Blog ","16Check Result Filter By Content ","16Check Result Filter By Content ",""
"passed","Mon Dec 12 23:47:50 UTC 2022","Mon Dec 12 23:47:56 UTC 2022","5654","","Log in ","","Log in ","2should not login with data which was not used for register before and receive error message","2should not login with data which was not used for register before and receive error message",""
"passed","Thu Dec 08 11:15:38 UTC 2022","Thu Dec 08 11:15:46 UTC 2022","8397","","Blog ","","Blog ","13Should search","13Should search",""
"broken","Thu Dec 08 11:14:52 UTC 2022","Thu Dec 08 11:14:57 UTC 2022","4636","","Sign up","","Sign up","7Should not be signed up with empty fields","7Should not be signed up with empty fields",""
"passed","Thu Dec 08 11:16:08 UTC 2022","Thu Dec 08 11:16:13 UTC 2022","4766","","Blog ","","Blog ","17 all articles are with link","17 all articles are with link",""
"passed","Mon Dec 12 23:48:52 UTC 2022","Mon Dec 12 23:49:49 UTC 2022","57488","","Sign up","","Sign up","6Should signed up with valid fields","6Should signed up with valid fields",""
"passed","Thu Dec 08 11:39:01 UTC 2022","Thu Dec 08 11:39:03 UTC 2022","2456","","Blog ","","Blog ","17 all articles are with link","17 all articles are with link",""
"passed","Thu Dec 08 11:15:10 UTC 2022","Thu Dec 08 11:15:18 UTC 2022","8044","","talkToExpert","","talkToExpert","11Should open contact-us pache by click on Talk to an expert","11Should open contact-us pache by click on Talk to an expert",""
"failed","Thu Dec 08 11:12:42 UTC 2022","Thu Dec 08 11:13:00 UTC 2022","17637","","Log in ","","Log in ","2should not login with data which was not used for register before and receive error message","2should not login with data which was not used for register before and receive error message",""
"broken","Mon Dec 12 23:48:37 UTC 2022","Mon Dec 12 23:48:52 UTC 2022","14928","","Log in ","","Log in ","5Should be logged in with valid data and check","5Should be logged in with valid data and check",""
